Year,Month,Total_Num_Reports,Num_Reports_Lake,Num_Reports_Rivers,Num_Reports_Marine,Num_Reports_Other,Num_Reports_NoAdvisory,Num_Reports_Caution,Num_Reports_Warning,Num_Reports_Danger,Num_Reports_UnknownAdvisory,Percent_Lake,Percent_River,Percent_Marine,Percent_Other,Percent_NoAdvisory,Percent_Caution,Percent_Warning,Percent_Danger,Percent_UnknownAdvisory,blue green algae
2020,12,3,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,6
2021,1,119,81.0,28.0,0.0,10.0,10.0,26.0,8.0,10.0,65.0,0.680672268907563,0.23529411764705882,0.0,0.08403361344537816,0.08403361344537816,0.2184873949579832,0.06722689075630252,0.08403361344537816,0.5462184873949579,3
2021,2,13,12.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,6.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.46153846153846156,4
2021,3,6,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,7
2021,4,20,10.0,7.0,0.0,3.0,0.0,13.0,0.0,0.0,7.0,0.5,0.35,0.0,0.15,0.0,0.65,0.0,0.0,0.35,9
2021,5,72,49.0,11.0,6.0,6.0,5.0,23.0,1.0,1.0,42.0,0.6805555555555556,0.1527777777777778,0.08333333333333333,0.08333333333333333,0.06944444444444445,0.3194444444444444,0.013888888888888888,0.013888888888888888,0.5833333333333334,5
2021,6,85,33.0,42.0,4.0,6.0,1.0,29.0,1.0,2.0,52.0,0.38823529411764707,0.49411764705882355,0.047058823529411764,0.07058823529411765,0.011764705882352941,0.3411764705882353,0.011764705882352941,0.023529411764705882,0.611764705882353,9
2021,7,102,31.0,54.0,1.0,16.0,1.0,65.0,0.0,1.0,35.0,0.30392156862745096,0.5294117647058824,0.00980392156862745,0.1568627450980392,0.00980392156862745,0.6372549019607843,0.0,0.00980392156862745,0.3431372549019608,11
2021,8,57,19.0,28.0,2.0,8.0,0.0,33.0,1.0,0.0,23.0,0.3333333333333333,0.49122807017543857,0.03508771929824561,0.14035087719298245,0.0,0.5789473684210527,0.017543859649122806,0.0,0.40350877192982454,12
2021,9,65,23.0,34.0,0.0,8.0,3.0,28.0,1.0,1.0,32.0,0.35384615384615387,0.5230769230769231,0.0,0.12307692307692308,0.046153846153846156,0.4307692307692308,0.015384615384615385,0.015384615384615385,0.49230769230769234,10
2021,10,20,9.0,8.0,1.0,2.0,0.0,7.0,0.0,1.0,12.0,0.45,0.4,0.05,0.1,0.0,0.35,0.0,0.05,0.6,6
2021,11,6,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.5,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,6
